id,image,location,depth,date,flagged,remarks
1bc0ea71-1988-4a67-8a1a-9b41ebb0fb8f,"","{""lat"":13.0178057,""lng"":80.2711023}",44,2023-12-07 09:47:24.682,,Flooded with ground water
a27bf76a-8269-4086-a01c-3c85384804ac,"","{""lat"":12.977579282025621,""lng"":80.20105550990519}",63,2023-12-07 09:49:05.177,,185 Ward govindaraj street
30350f53-830b-4a67-891b-07e891507bb4,"","{""lat"":13.0711552,""lng"":80.19968}",36,2023-12-07 09:51:25.743,,""
06174a81-2bec-4836-8255-bc7fa02ac334,https://cwl-images.s3.ap-south-1.amazonaws.com/6d19c31fe5bae3655e6316d7621e9ea1.jpeg,"{""lat"":13.066383687629024,""lng"":80.21446854705201}",60,2023-12-07 09:51:41.793,,Flood draining time is 2 days
e9555df6-a696-48cd-a6ec-b4fda311a670,"","{""lat"":12.9868995,""lng"":80.1754747}",39,2023-12-07 09:58:17.284,,""
efb5be41-c63b-4ec8-909f-0aca5584d785,https://cwl-images.s3.ap-south-1.amazonaws.com/cbc48fbf1a76b00c31d90196db60703d.jpeg,"{""lat"":13.111270716028555,""lng"":80.2301619897886}",105,2023-12-07 09:58:35.147,,Jawahar Nagar 1st cross Road 4th Main road junction 600082
7e8f199f-58ed-481d-bfd9-9ad4369ba2d6,"","{""lat"":12.996869189697104,""lng"":80.25205125001904}",12,2023-12-07 09:59:32.617,,""
c7d05175-24ed-4c02-b642-0b330aa1281d,"","{""lat"":12.996869189697104,""lng"":80.25205125001904}",15,2023-12-07 09:59:42.058,,""
d709a41a-8161-4a1c-a9ff-9920f05e6887,"","{""lat"":12.9936728,""lng"":80.1852397}",48,2023-12-07 09:59:47.151,,Water logged
1544e13c-0a68-45a1-8c3e-0cf623db814a,"","{""lat"":12.977595311531294,""lng"":80.1945944778682}",52,2023-12-07 10:00:45.494,,185 ward bharathiyar street
27005aa2-94b6-4476-9c2c-582b280ae324,"","{""lat"":12.974563174562011,""lng"":80.196483257598}",53,2023-12-07 10:06:11.42,,Ward 185
51ef6025-cbd3-402c-a2f6-ac1cb305cbd1,"","{""lat"":12.974563174562011,""lng"":80.196483257598}",53,2023-12-07 10:06:11.451,,Ward 185
1b959e1d-c7f0-41c4-adc9-17737dce5468,"","{""lat"":13.05833247688655,""lng"":80.24788693273281}",41,2023-12-07 10:11:49.843,,""
f6d315b0-42cc-40cc-9b16-54a29ec40f39,"","{""lat"":12.9717656,""lng"":80.2608901}",50,2023-12-07 10:12:10.916,,""
775ac957-3dbe-4f8d-9b26-bff77f0b95ed,https://cwl-images.s3.ap-south-1.amazonaws.com/978c2c9309e35594b9de5db95be9f260.jpeg,"{""lat"":12.9717656,""lng"":80.2608901}",50,2023-12-07 10:12:40.761,,""
